False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.000000,0.000000,207980,121234,1.714288 
0.020000,0.000000,213783,124536,1.715109 
0.040000,0.000000,203006,117801,1.722644 
0.060000,0.000000,212803,123244,1.725395 
0.080000,0.000000,224955,129899,1.731210 
0.100000,0.000000,224528,129623,1.731740 
0.120000,0.000000,208528,120080,1.735680 
0.140000,0.000000,219387,125772,1.743884 
0.160000,0.000000,234972,134426,1.747139 
0.180000,0.000000,233472,132974,1.755357 
0.200000,0.000000,221426,126156,1.754863 
0.220000,0.000000,221707,126373,1.754111 
0.240000,0.000000,231417,131005,1.766281 
0.260000,0.000000,239343,135255,1.769220 
0.280000,0.000000,223212,125879,1.772293 
0.300000,0.000000,245817,138329,1.776542 
0.320000,0.000000,216154,121068,1.785195 
0.340000,0.000000,238143,133279,1.786256 
0.360000,0.000000,257591,143342,1.796653 
0.380000,0.000000,243588,135896,1.792507 
0.400000,0.000000,241176,133946,1.800485 
0.420000,0.000000,252526,139581,1.808693 
0.440000,0.000000,245052,135158,1.813114 
0.460000,0.000000,257405,141790,1.815277 
0.480000,0.000000,253221,138772,1.824205 
0.500000,0.000000,259813,141948,1.829833 
0.520000,0.000000,270921,147358,1.838342 
0.540000,0.000000,256084,139237,1.839495 
0.560000,0.000000,262481,142468,1.841086 
0.580000,0.000000,281921,152638,1.846390 
0.600000,0.000000,256245,138533,1.849699 
0.620000,0.000000,269495,144461,1.865837 
0.640000,0.000000,277102,148426,1.867519 
0.660000,0.000000,286324,152942,1.872328 
0.680000,0.000000,263109,140618,1.871145 
0.700000,0.000000,292192,154954,1.885504 
0.720000,0.000000,278734,148070,1.882270 
0.740000,0.000000,272097,143484,1.896169 
0.760000,0.000000,281159,147963,1.899991 
0.780000,0.000000,279027,146514,1.904132 
0.800000,0.000000,306011,159704,1.915889 
0.820000,0.000000,299559,156050,1.919417 
0.840000,0.000000,307277,159250,1.928058 
0.860000,0.000000,294787,152768,1.929141 
0.880000,0.000000,308146,158932,1.938353 
0.900000,0.000000,304700,156796,1.943015 
0.920000,0.000000,301782,154819,1.948395 
0.940000,0.000000,300861,153597,1.958894 
0.960000,0.000000,298243,151820,1.964783 
0.980000,0.000000,304113,154134,1.972609 
1.000000,0.000000,312178,157854,1.977329 
0.000000,0.020000,181645,108084,1.680395 
0.020000,0.020000,187591,111070,1.688577 
0.040000,0.020000,197814,116550,1.696671 
0.060000,0.020000,193099,113867,1.695372 
0.080000,0.020000,201248,118377,1.699859 
0.100000,0.020000,198683,116327,1.708069 
0.120000,0.020000,214002,124515,1.718437 
0.140000,0.020000,203680,118732,1.715165 
0.160000,0.020000,210642,122354,1.720336 
0.180000,0.020000,217919,125898,1.730586 
0.200000,0.020000,228300,130999,1.742788 
0.220000,0.020000,215870,124159,1.738472 
0.240000,0.020000,214933,122942,1.748366 
0.260000,0.020000,224151,128006,1.750920 
0.280000,0.020000,213720,122093,1.749776 
0.300000,0.020000,233791,132479,1.764680 
0.320000,0.020000,228876,129582,1.765952 
0.340000,0.020000,236507,133324,1.773762 
0.360000,0.020000,242905,135772,1.788530 
0.380000,0.020000,234532,131238,1.787073 
0.400000,0.020000,239641,133606,1.793430 
0.420000,0.020000,229855,128011,1.795464 
0.440000,0.020000,240732,133517,1.802372 
0.460000,0.020000,242237,134104,1.806166 
0.480000,0.020000,243090,134033,1.813557 
0.500000,0.020000,257206,141529,1.817155 
0.520000,0.020000,259794,142021,1.828878 
0.540000,0.020000,275476,150411,1.831407 
0.560000,0.020000,277525,151064,1.836331 
0.580000,0.020000,260124,141297,1.840750 
0.600000,0.020000,259633,140505,1.847558 
0.620000,0.020000,257759,138714,1.857884 
0.640000,0.020000,280573,151088,1.856810 
0.660000,0.020000,263546,141251,1.865189 
0.680000,0.020000,268881,143836,1.869019 
0.700000,0.020000,266887,142089,1.878053 
0.720000,0.020000,260048,138474,1.877664 
0.740000,0.020000,284275,150208,1.892391 
