False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.000000,0.000000,281586,166091,1.695278 
0.000000,0.020000,269257,159556,1.686088 
0.000000,0.040000,268154,159457,1.681338 
0.000000,0.060000,250712,149559,1.674951 
0.000000,0.080000,250514,149943,1.670330 
0.000000,0.100000,252645,151588,1.666351 
0.000000,0.120000,238039,143243,1.660807 
0.000000,0.140000,227606,138431,1.643865 
0.000000,0.160000,216554,131802,1.641927 
0.000000,0.180000,196827,121183,1.623910 
0.000000,0.200000,219210,134897,1.624453 
0.000000,0.220000,212543,131229,1.618727 
0.000000,0.240000,202022,125222,1.612627 
0.000000,0.260000,195257,121078,1.611651 
0.000000,0.280000,188891,118019,1.599835 
0.000000,0.300000,182550,114897,1.586536 
0.000000,0.320000,170647,108228,1.577064 
0.000000,0.340000,173551,109987,1.577301 
0.000000,0.360000,156941,99592,1.574784 
0.000000,0.380000,158829,101861,1.558766 
0.000000,0.400000,166942,107626,1.551026 
0.000000,0.420000,149286,96592,1.544928 
0.000000,0.440000,138841,90743,1.530007 
0.000000,0.460000,132720,87267,1.519760 
0.000000,0.480000,128572,84471,1.521392 
0.000000,0.500000,125212,83143,1.505851 
0.000000,0.520000,114824,76662,1.496681 
0.000000,0.540000,119749,80558,1.485388 
0.000000,0.560000,102969,70353,1.461339 
0.000000,0.580000,107303,73456,1.460560 
0.000000,0.600000,101674,69914,1.454066 
0.000000,0.620000,90920,63169,1.437736 
0.000000,0.640000,89510,62958,1.421570 
0.000000,0.660000,88215,62441,1.411305 
0.000000,0.680000,76160,54379,1.399072 
0.000000,0.700000,78790,56606,1.389160 
0.000000,0.720000,70264,51401,1.366159 
0.000000,0.740000,70429,51892,1.355260 
0.000000,0.760000,60462,44890,1.345552 
0.000000,0.780000,59378,44545,1.332948 
0.000000,0.800000,60623,45816,1.323102 
0.000000,0.820000,50370,39040,1.289726 
0.000000,0.840000,50364,39179,1.284280 
0.000000,0.860000,46925,37056,1.265531 
0.000000,0.880000,38617,31152,1.235703 
0.000000,0.900000,39323,31996,1.227942 
0.000000,0.920000,33328,27823,1.196388 
0.000000,0.940000,31702,26568,1.191165 
0.000000,0.960000,28949,24907,1.160324 
0.000000,0.980000,26427,23246,1.135803 
0.000000,1.000000,22272,20053,1.107025 
