
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff
1.0,0.0,189933.3,100000.0,1.8993330000000002
1.0,0.02,189850.69999999998,100000.0,1.8985070000000006
1.0,0.04,190049.44999999998,100000.0,1.9004944999999998
1.0,0.06,189905.65000000002,100000.0,1.8990564999999997
1.0,0.08,189965.00000000003,100000.0,1.89965
1.0,0.1,190133.0,100000.0,1.9013299999999997
1.0,0.12000000000000001,190008.55000000002,100000.0,1.9000855000000005
1.0,0.14,189778.64999999997,100000.0,1.8977865000000003
1.0,0.16,189977.7,100000.0,1.8997769999999998
1.0,0.18,190008.0,100000.0,1.90008
1.0,0.19999999999999998,189870.7,100000.0,1.898707
1.0,0.21999999999999997,189816.19999999998,100000.0,1.8981620000000001
1.0,0.23999999999999996,189692.69999999998,100000.0,1.896927
1.0,0.25999999999999995,189885.59999999995,100000.0,1.8988560000000003
1.0,0.27999999999999997,189773.9,100000.0,1.897739
1.0,0.3,190078.09999999998,100000.0,1.900781
1.0,0.32,190027.09999999998,100000.0,1.9002709999999996
1.0,0.34,190115.99999999997,100000.0,1.90116
1.0,0.36000000000000004,190012.25,100000.0,1.9001225000000002
1.0,0.38000000000000006,189990.09999999998,100000.0,1.899901
1.0,0.4000000000000001,189884.34999999995,100000.0,1.8988435000000001
1.0,0.4200000000000001,189851.75,100000.0,1.8985175
1.0,0.4400000000000001,190078.2,100000.0,1.9007820000000002
1.0,0.46000000000000013,189949.45,100000.0,1.8994945
1.0,0.48000000000000015,189957.75,100000.0,1.8995774999999997
1.0,0.5000000000000001,190094.7,100000.0,1.9009469999999995
1.0,0.5200000000000001,189946.39999999997,100000.0,1.8994639999999998
1.0,0.5400000000000001,189920.94999999998,100000.0,1.8992094999999998
1.0,0.5600000000000002,189983.75,100000.0,1.8998374999999998
1.0,0.5800000000000002,189916.45,100000.0,1.8043605000000005
1.0,0.6000000000000002,189997.65000000002,100000.0,1.8999765
1.0,0.6200000000000002,189872.40000000002,100000.0,1.8987240000000005
1.0,0.6400000000000002,189787.19999999998,100000.0,1.8978719999999996
1.0,0.6600000000000003,189945.35000000006,100000.0,1.8994535000000001
1.0,0.6800000000000003,190202.15,100000.0,1.9020214999999998
1.0,0.7000000000000003,189861.80000000002,100000.0,1.898618
1.0,0.7200000000000003,189687.75,100000.0,1.8968775000000002
1.0,0.7400000000000003,189720.7,100000.0,1.897207
1.0,0.7600000000000003,189770.49999999997,100000.0,1.8977050000000002
1.0,0.7800000000000004,189895.24999999994,100000.0,1.8989525000000005
1.0,0.8000000000000004,189942.34999999998,100000.0,1.8994235000000002
1.0,0.8200000000000004,190022.69999999998,100000.0,1.9002269999999997
1.0,0.8400000000000004,189968.3,100000.0,1.8996830000000005
1.0,0.8600000000000004,189877.95,100000.0,1.8987794999999998
1.0,0.8800000000000004,190176.95000000004,100000.0,1.9017695000000001
1.0,0.9000000000000005,189838.50000000003,100000.0,1.898385
1.0,0.9200000000000005,189832.05000000005,100000.0,1.8983204999999999
1.0,0.9400000000000005,189898.05,100000.0,1.8989805000000004
1.0,0.9600000000000005,189900.5,100000.0,1.8990049999999996
1.0,0.9800000000000005,190147.05000000005,100000.0,1.9014704999999998
