False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.000000,0.000000,182306,105710,1.724231 
0.000000,0.020000,176916,102920,1.718125 
0.000000,0.040000,161315,95380,1.690131 
0.000000,0.060000,158839,94645,1.678259 
0.000000,0.080000,150055,90461,1.658437 
0.000000,0.100000,150442,91789,1.638983 
0.000000,0.120000,146130,90209,1.618734 
0.000000,0.140000,140665,87715,1.603036 
0.000000,0.160000,131749,83060,1.585882 
0.000000,0.180000,122969,78076,1.572995 
0.000000,0.200000,122567,78909,1.552716 
0.000000,0.220000,109754,71450,1.535244 
0.000000,0.240000,103325,68196,1.514346 
0.000000,0.260000,103482,68748,1.504656 
0.000000,0.280000,92536,62510,1.479630 
0.000000,0.300000,91078,61951,1.468398 
0.000000,0.320000,90380,62337,1.447703 
0.000000,0.340000,78125,54974,1.420996 
0.000000,0.360000,76641,54419,1.407859 
0.000000,0.380000,71861,51542,1.391961 
0.000000,0.400000,71732,51701,1.385534 
0.000000,0.420000,58580,43191,1.355364 
0.000000,0.440000,60923,45524,1.335727 
0.000000,0.460000,57764,43776,1.319055 
0.000000,0.480000,56180,42696,1.314709 
0.000000,0.500000,52050,40369,1.287647 
0.000000,0.520000,54140,42196,1.281265 
0.000000,0.540000,47592,37789,1.259187 
0.000000,0.560000,44738,36050,1.240760 
0.000000,0.580000,38834,32050,1.209561 
0.000000,0.600000,38447,31792,1.208376 
0.000000,0.620000,31999,27134,1.178115 
0.000000,0.640000,31123,26560,1.171095 
0.000000,0.660000,29263,25415,1.150865 
0.000000,0.680000,30388,26384,1.148225 
0.000000,0.700000,25488,22956,1.108722 
0.000000,0.720000,23054,21059,1.092898 
0.000000,0.740000,22786,20939,1.085729 
0.000000,0.760000,17921,17032,1.049774 
0.000000,0.780000,17446,16697,1.040533 
0.000000,0.800000,17306,16645,1.037810 
0.000000,0.820000,15344,15071,1.014165 
0.000000,0.840000,14489,14395,1.003473 
0.000000,0.860000,12880,13120,0.979512 
0.000000,0.880000,11665,12000,0.969062 
0.000000,0.900000,11437,11878,0.961617 
0.000000,0.920000,10884,11483,0.942476 
0.000000,0.940000,8756,9471,0.921536 
0.000000,0.960000,8463,9266,0.912145 
0.000000,0.980000,8407,9262,0.903493 
0.000000,1.000000,7454,8360,0.889057 
